type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
Movie,Pixar 2021 Disney+ Day Special,,"Pete Docter, Larry the Cable Guy, Jack Dylan Grazer, Domee Shi, Angus MacLane",,12-Nov-21,2021,G,5 min,Movies,Join Pete Docter for a tour around Pixar and get a sneak peek at several upcoming Disney+ releases.
Movie,Shang-Chi and The Legend of The Ten Rings,Destin Daniel Cretton,"Simu Liu, Awkwafina, Tony Leung, Michelle Yeoh, Meng'er Zhang, Ben Kingsley","United States, Australia",12-Nov-21,2021,PG-13,134 min,"Action-Adventure, Fantasy, Superhero","Shang-Chi must confront his father, leader of the Ten Rings organization."
Movie,Spin,Manjari Makijany,"Avantika, Michael Bishop, Anna Cathcart, Jahbril Cook, Kerri Medders, Aryan Simhadri",,12-Nov-21,2021,TV-G,94 min,"Coming of Age, Music",Rhea discovers her passion for creating DJ mixes!
Movie,Tangled Ever After,"Nathan Greno, Byron Howard","Mandy Moore, Zachary Levi, Alan Dale, Paul F. Tompkins, Kari Wahlgren, Mark Allen Stewart",United States,12-Nov-21,2012,G,9 min,"Animation, Family",It's up to Max and Pascal to save the royal wedding.
Movie,The Ballad of Nessie,"Stevie Wermers-Skelton, Kevin Deters",Billy Connolly,,12-Nov-21,2011,G,8 min,"Animation, Family, Fantasy",A colorful tale about the friendly Loch Ness monster.
Movie,The Little Matchgirl,Roger Allers,,United States,12-Nov-21,2006,G,7 min,"Animation, Drama",A poor matchgirl sees happy images in the flames of her matches.
Movie,The Making of Happier Than Ever: A Love Letter to Los Angeles,David Clair,"Billie Eilish, FINNEAS, Gustavo Dudamel, Patrick Osborne, Robert Rodriguez",,12-Nov-21,2021,TV-PG,30 min,"Concert Film, Music","Go behind the scenes of ""Happier Than Ever: A Love Letter to Los Angeles."""
Movie,The Proud Family: Louder and Prouder,,"Kyla Pratt, Tommy Davidson, Paula Jai Parker, JoMarie Payton, Cedric the Entertainer",,12-Nov-21,2021,TV-G,1 min,"Animation, Comedy, Coming of Age","""The Proud Family: Louder and Prouder"" follows Penny Proud and her family. Coming in February 2022."
Movie,The Simpsons in Plusaversary,David Silverman,"Dan Castellaneta, Nancy Cartwright, Yeardley Smith, Tress MacNeille, Hank Azaria",,12-Nov-21,2021,TV-PG,6 min,"Animation, Comedy",Celebrate Disney+ Day with The Simpsons and their friends from across the service.
Movie,Tick Tock Tale,Dean Wellins,,United States,12-Nov-21,2010,G,6 min,"Animation, Crime, Family",A tale of a quirky mantle clock.
Movie,Under the Helmet: The Legacy of Boba Fett,,,,12-Nov-21,2021,TV-PG,22 min,Science Fiction,"A special celebrating the origins and legacy of Star Wars’ legendary bounty hunter, Boba Fett."
Movie,Willow,,,,12-Nov-21,2021,TV-PG,3 min,"Action-Adventure, Fantasy","Meet the cast of the all-new Disney+ fantasy-adventure series ""Willow."" Coming to Disney+ in 2022."
Movie,Alvin and the Chipmunks: Chipwrecked,Mike Mitchell,"Jason Lee, David Cross, Jenny Slate, Justin Long, Matthew Gray Gubler, Jesse McCartney",United States,5-Nov-21,2011,G,87 min,"Comedy, Family, Music",The Chipmunks and Chipettes get stranded on a remote island – or so it would seem.
Movie,Jingle All The Way,Brian Levant,"Arnold Schwarzenegger, Sinbad, Phil Hartman, Rita Wilson, Robert Conrad, Martin Mull",United States,5-Nov-21,1996,PG,90 min,"Comedy, Family",A father's Christmas Eve turns into a madcap scramble to find a much sought-after toy for his son.
Movie,Jingle All the Way 2,Alex Zamm,"Larry the Cable Guy, Brian Stepanek, Santino Marella, Kennedi Clements, Kirsten Robek, Rachel Hayward",United States,5-Nov-21,2014,PG,91 min,"Comedy, Family",Two dads compete to be the best father and make Christmas amazing!
Movie,Prep & Landing: Operation Secret Santa,"Kevin Deters, Stevie Wermers-Skelton","Betty White, Dave Foley, Derek Richardson, Sarah Chalke, W. Morgan Sheppard",,5-Nov-21,2010,TV-G,8 min,"Animation, Family, Fantasy",Mrs. Claus enlists two elves in a secret mission.
Movie,Santa Buddies: The Legend of Santa Paws,Robert Vince,"Christopher Lloyd, Danny Woodburn, Craig Anton, Michael Teigen, Ben Giroux, Paul Rae","United States, Canada",5-Nov-21,2009,G,93 min,"Comedy, Fantasy, Kids","The Buddies remind Santa Paws' feisty son, Puppy Paws, about the true meaning of Christmas."
